,choice_set,choice
0,"('B', 'D', 'E')",B
1,"('A', 'B', 'C', 'D', 'E')",B
2,"('A', 'B', 'C', 'D')",C
3,"('C', 'D', 'E')",E
4,"('C', 'E')",C
5,"('B', 'C', 'D')",D
6,"('A', 'B', 'C', 'D', 'E')",E
7,"('A', 'B', 'C', 'D')",D
8,"('A', 'B', 'C', 'D', 'E')",E
9,"('A', 'C')",C
10,"('A', 'B', 'C', 'D')",D
11,"('B', 'E')",E
12,"('B', 'D')",D
13,"('A', 'D')",D
14,"('A', 'B', 'D', 'E')",B
15,"('A', 'B', 'C', 'D', 'E')",D
16,"('A', 'B', 'C', 'D', 'E')",E
17,"('C', 'E')",E
18,"('C', 'D', 'E')",E
19,"('A', 'E')",A
20,"('A', 'B', 'C')",A
21,"('A', 'D', 'E')",A
22,"('A', 'B', 'C', 'D', 'E')",E
23,"('A', 'B', 'C', 'D', 'E')",D
24,"('A', 'B', 'C', 'D')",D
25,"('C', 'D')",C
26,"('C', 'D')",D
27,"('B', 'C', 'E')",C
28,"('A', 'B', 'C', 'D', 'E')",D
29,"('A', 'B', 'C', 'D', 'E')",E
30,"('A', 'B', 'C', 'D', 'E')",E
31,"('C', 'D')",C
32,"('B', 'D', 'E')",D
33,"('A', 'C', 'D')",D
34,"('B', 'C', 'D')",D
35,"('A', 'B', 'C', 'D', 'E')",C
36,"('A', 'C', 'D', 'E')",E
37,"('A', 'C')",C
38,"('A', 'B', 'C', 'E')",E
39,"('C', 'D', 'E')",E
40,"('A', 'C')",A
41,"('B', 'C')",C
42,"('A', 'D', 'E')",E
43,"('B', 'C', 'D', 'E')",C
44,"('C', 'D')",D
45,"('B', 'E')",E
46,"('A', 'C', 'D', 'E')",E
47,"('A', 'C', 'D')",D
48,"('A', 'C', 'D', 'E')",E
49,"('A', 'C')",C
50,"('B', 'C', 'E')",B
51,"('A', 'B', 'C', 'E')",E
52,"('A', 'B', 'C')",C
53,"('A', 'B', 'D', 'E')",D
54,"('A', 'C', 'E')",C
55,"('A', 'C', 'D', 'E')",E
56,"('A', 'B', 'C', 'D', 'E')",D
57,"('C', 'E')",C
58,"('A', 'B', 'C')",B
59,"('B', 'D', 'E')",B
60,"('A', 'B', 'C', 'D', 'E')",D
61,"('A', 'B', 'D', 'E')",E
62,"('A', 'B', 'C', 'D', 'E')",C
63,"('B', 'D')",B
