,choice_set,choice
0,"('A', 'C', 'D', 'G')",D
1,"('D', 'F', 'G')",F
2,"('E', 'F', 'G')",G
3,"('B', 'E', 'G', 'H')",B
4,"('B', 'F')",B
5,"('A', 'D', 'G')",A
6,"('A', 'D', 'E')",A
7,"('D', 'F')",F
8,"('C', 'D', 'H')",C
9,"('B', 'C', 'F', 'H')",F
10,"('B', 'C', 'D', 'H')",D
11,"('B', 'C', 'D', 'H')",D
12,"('D', 'F')",F
13,"('A', 'D', 'E', 'G')",E
14,"('H', 'I')",I
15,"('D', 'G')",G
16,"('G', 'H')",H
17,"('B', 'D', 'F')",F
18,"('E', 'F')",E
19,"('B', 'C', 'E', 'F')",C
20,"('D', 'F', 'G', 'H')",F
21,"('A', 'F', 'G', 'I')",F
22,"('A', 'C', 'D', 'G')",C
23,"('C', 'D', 'G')",D
24,"('A', 'B', 'C', 'I')",B
25,"('A', 'H')",H
26,"('B', 'E', 'G', 'H')",H
27,"('D', 'F')",F
28,"('B', 'C', 'E')",B
29,"('C', 'E', 'H')",E
30,"('C', 'D', 'F')",D
31,"('A', 'D', 'E', 'G')",G
32,"('A', 'B', 'C', 'E')",C
33,"('C', 'F', 'G', 'H')",C
34,"('B', 'C', 'E', 'I')",B
35,"('B', 'F')",F
36,"('B', 'D')",B
37,"('A', 'B', 'E')",E
38,"('A', 'I')",A
39,"('C', 'E')",E
40,"('D', 'F', 'I')",D
41,"('E', 'I')",I
42,"('A', 'E', 'F', 'H')",E
43,"('A', 'C', 'F')",F
44,"('A', 'B', 'C', 'F')",F
45,"('B', 'D', 'F')",F
46,"('C', 'E', 'F')",F
47,"('C', 'D')",D
48,"('C', 'E', 'I')",C
49,"('B', 'F', 'G')",F
50,"('F', 'G')",F
51,"('A', 'E')",E
52,"('C', 'D', 'E', 'H')",E
53,"('D', 'G')",D
54,"('A', 'B', 'F')",F
55,"('B', 'G')",G
56,"('C', 'H')",C
57,"('A', 'B', 'D', 'E')",E
58,"('E', 'F', 'H')",H
59,"('B', 'C', 'E', 'F')",E
60,"('B', 'C', 'D', 'G')",D
61,"('B', 'D', 'H')",D
62,"('A', 'C', 'D', 'G')",C
63,"('B', 'C', 'I')",C
64,"('B', 'F', 'I')",F
65,"('A', 'B', 'F', 'H')",F
66,"('A', 'C', 'I')",A
67,"('B', 'E', 'G', 'H')",G
68,"('A', 'C', 'D', 'E')",A
69,"('A', 'C', 'F', 'I')",C
70,"('F', 'I')",F
71,"('B', 'E', 'F', 'H')",F
72,"('B', 'C', 'G')",G
73,"('D', 'F')",F
74,"('D', 'E')",D
75,"('B', 'C', 'D', 'F')",C
76,"('B', 'D', 'E', 'G')",B
77,"('E', 'H')",H
78,"('F', 'H', 'I')",F
79,"('G', 'H')",G
80,"('A', 'F', 'G')",F
81,"('C', 'D')",D
82,"('A', 'D')",D
83,"('A', 'B', 'C', 'F')",F
84,"('D', 'G')",G
85,"('A', 'B')",B
86,"('B', 'F')",F
87,"('D', 'E', 'F')",E
88,"('B', 'H')",B
89,"('C', 'D', 'F')",D
90,"('B', 'E', 'F', 'G')",G
91,"('A', 'E', 'G')",E
92,"('G', 'H')",G
93,"('A', 'E', 'G', 'I')",I
94,"('C', 'D', 'E', 'F')",F
95,"('F', 'H', 'I')",F
96,"('A', 'D', 'F', 'G')",F
97,"('A', 'C', 'G', 'H')",G
98,"('A', 'D', 'I')",A
99,"('B', 'D')",B
100,"('A', 'C')",A
101,"('A', 'C')",A
102,"('B', 'E')",E
103,"('A', 'C', 'D', 'I')",I
104,"('A', 'F', 'G')",F
105,"('B', 'D', 'I')",I
106,"('C', 'D')",D
107,"('B', 'G', 'I')",G
108,"('B', 'C', 'D')",C
109,"('A', 'C', 'E')",A
110,"('A', 'B', 'G')",B
111,"('A', 'B')",A
112,"('A', 'C', 'F')",A
113,"('A', 'F', 'H')",F
114,"('B', 'D', 'G')",G
115,"('A', 'E', 'I')",E
116,"('B', 'D', 'G', 'H')",B
117,"('C', 'D', 'F')",C
118,"('B', 'D', 'F', 'H')",H
119,"('C', 'D', 'E', 'H')",D
120,"('D', 'H', 'I')",D
121,"('F', 'G')",F
122,"('A', 'C')",C
123,"('A', 'B', 'C', 'E')",B
124,"('A', 'C', 'E', 'I')",I
125,"('A', 'H', 'I')",H
126,"('A', 'I')",A
127,"('C', 'E', 'F', 'H')",F
128,"('C', 'F', 'H')",F
129,"('A', 'C', 'H')",A
130,"('C', 'F')",F
131,"('C', 'F')",C
132,"('C', 'E', 'I')",I
133,"('B', 'D', 'G', 'H')",G
134,"('F', 'I')",F
135,"('B', 'F', 'I')",I
136,"('A', 'E', 'H')",E
137,"('C', 'E', 'F', 'G')",F
138,"('A', 'C', 'D', 'I')",D
139,"('B', 'E', 'I')",B
140,"('A', 'E')",E
141,"('E', 'F', 'G')",G
142,"('B', 'C', 'D', 'H')",D
143,"('C', 'D')",D
144,"('D', 'G', 'I')",D
145,"('E', 'G', 'I')",G
146,"('A', 'C', 'D', 'H')",A
147,"('C', 'F', 'G')",C
148,"('B', 'F', 'I')",I
149,"('F', 'I')",F
150,"('A', 'B', 'E')",E
151,"('D', 'G', 'H')",D
152,"('A', 'B', 'D')",D
153,"('B', 'I')",B
154,"('D', 'E', 'F')",D
155,"('C', 'E', 'H', 'I')",H
156,"('A', 'D', 'H')",A
157,"('B', 'C', 'H')",B
158,"('A', 'C', 'E', 'I')",C
159,"('A', 'D', 'F')",F
160,"('B', 'F', 'G', 'H')",G
161,"('B', 'E')",E
162,"('A', 'B', 'F', 'G')",F
163,"('D', 'I')",D
164,"('C', 'E')",C
165,"('F', 'G', 'H')",G
166,"('A', 'C', 'D', 'E')",C
167,"('C', 'E', 'F', 'I')",F
168,"('D', 'G', 'I')",I
169,"('A', 'D')",D
170,"('A', 'C', 'I')",A
171,"('C', 'D', 'E', 'F')",F
172,"('B', 'E', 'G', 'H')",G
173,"('E', 'F', 'H')",H
174,"('G', 'I')",G
175,"('A', 'B', 'F', 'H')",A
176,"('C', 'F', 'G', 'H')",F
177,"('B', 'G')",G
178,"('C', 'F')",F
179,"('G', 'H')",G
180,"('A', 'B', 'I')",I
181,"('A', 'B', 'F')",F
182,"('A', 'D')",D
183,"('D', 'I')",D
184,"('B', 'C')",B
185,"('B', 'I')",B
186,"('E', 'F', 'I')",F
187,"('A', 'B')",A
188,"('B', 'H', 'I')",I
189,"('A', 'G', 'I')",G
190,"('B', 'D', 'E', 'G')",G
191,"('A', 'B', 'E', 'F')",F
192,"('A', 'C', 'D', 'H')",D
193,"('D', 'F', 'G', 'I')",F
194,"('A', 'B', 'D', 'G')",D
195,"('A', 'C', 'D')",D
196,"('B', 'E', 'G', 'H')",G
197,"('D', 'F', 'I')",D
198,"('A', 'B', 'E', 'H')",A
199,"('A', 'G')",G
200,"('A', 'H')",A
201,"('A', 'C', 'D')",A
