,choice_set,choice
0,"('2', '3', '5')",2
1,"('3', '5')",5
2,"('1', '2', '3', '4', '5')",4
3,"('1', '2', '4', '5')",4
4,"('1', '3', '4', '5')",4
5,"('1', '2', '3')",2
6,"('1', '2', '3')",3
7,"('2', '3', '4', '5')",5
8,"('1', '2', '3', '5')",3
9,"('1', '2', '4', '5')",4
10,"('1', '2', '3', '4', '5')",2
11,"('2', '5')",2
12,"('3', '4')",4
13,"('1', '2', '3', '4')",1
14,"('1', '2')",2
15,"('1', '5')",5
16,"('1', '2', '4', '5')",2
17,"('1', '2', '3', '4')",1
18,"('2', '3', '4')",2
19,"('1', '2', '3', '5')",1
20,"('1', '2', '3', '4', '5')",1
21,"('2', '3', '4')",2
22,"('1', '4')",4
23,"('1', '2', '3', '4', '5')",4
24,"('1', '2', '5')",2
25,"('2', '3')",2
26,"('2', '3', '4', '5')",3
27,"('3', '4')",3
28,"('1', '2', '3', '4', '5')",5
29,"('1', '2', '3', '4', '5')",1
30,"('1', '2', '3')",3
31,"('1', '5')",1
32,"('1', '2', '3', '4', '5')",4
33,"('2', '4', '5')",2
34,"('1', '2', '3', '4', '5')",5
35,"('1', '2')",1
36,"('3', '5')",3
37,"('1', '5')",1
38,"('2', '3', '4', '5')",3
39,"('1', '5')",5
40,"('1', '2', '4', '5')",1
41,"('1', '2', '5')",5
42,"('2', '3')",2
43,"('1', '2', '3', '4', '5')",1
44,"('1', '2', '5')",5
45,"('1', '2', '3', '4', '5')",1
46,"('2', '3', '4', '5')",2
47,"('1', '2', '5')",5
48,"('1', '2', '3', '4', '5')",1
49,"('2', '3', '4', '5')",2
50,"('1', '2', '3', '4', '5')",1
51,"('1', '2', '4', '5')",1
52,"('1', '3')",1
53,"('2', '4', '5')",2
54,"('1', '2', '3', '4', '5')",3
55,"('1', '4', '5')",1
56,"('1', '3', '5')",1
57,"('4', '5')",4
58,"('1', '2', '3', '5')",2
59,"('1', '2', '3', '4', '5')",1
60,"('1', '2', '3', '5')",1
61,"('1', '2', '4', '5')",5
62,"('1', '3', '4', '5')",1
63,"('1', '2', '4', '5')",2
64,"('1', '2', '3')",3
65,"('1', '2', '3', '4', '5')",1
66,"('1', '3', '5')",1
67,"('2', '3', '4')",4
68,"('1', '5')",5
69,"('1', '2', '4', '5')",4
70,"('1', '2', '3', '4', '5')",4
71,"('1', '2', '3', '5')",5
72,"('1', '3', '4')",1
73,"('1', '4')",4
74,"('3', '4')",4
75,"('1', '2', '5')",5
76,"('3', '4', '5')",4
77,"('4', '5')",4
78,"('2', '3', '4')",3
79,"('3', '4', '5')",4
80,"('1', '2', '3')",2
81,"('1', '2')",1
82,"('1', '2', '3', '4', '5')",1
83,"('4', '5')",4
84,"('1', '2', '3', '4', '5')",1
85,"('1', '2', '3', '4', '5')",2
86,"('1', '2', '3', '5')",1
87,"('3', '5')",5
88,"('1', '2', '3', '4', '5')",1
89,"('1', '3', '4', '5')",1
90,"('2', '3')",3
91,"('2', '3', '4')",4
92,"('1', '2', '3', '4', '5')",1
93,"('1', '2', '3', '4', '5')",2
94,"('2', '3', '4', '5')",2
95,"('1', '2', '3', '4', '5')",1
96,"('1', '3', '4')",1
97,"('1', '3')",3
98,"('1', '2', '3', '4', '5')",1
99,"('1', '2', '3', '4', '5')",1
100,"('3', '4')",4
101,"('1', '2', '3', '4')",3
102,"('2', '4', '5')",5
103,"('3', '4')",4
104,"('1', '4')",4
105,"('3', '5')",3
106,"('2', '3', '4', '5')",2
107,"('2', '5')",5
108,"('4', '5')",4
109,"('4', '5')",4
110,"('2', '3', '4', '5')",3
111,"('1', '2', '3', '5')",3
112,"('1', '3', '4', '5')",1
113,"('1', '2', '3', '4', '5')",1
114,"('1', '3', '4', '5')",1
115,"('1', '3', '5')",3
116,"('4', '5')",5
117,"('1', '3', '5')",1
118,"('1', '2', '4', '5')",5
119,"('2', '3')",2
120,"('1', '2')",2
121,"('3', '4')",4
122,"('1', '2', '3', '5')",1
123,"('1', '2')",2
124,"('3', '4')",4
125,"('1', '2', '3', '4', '5')",5
126,"('1', '4', '5')",1
127,"('1', '2', '3', '4')",2
128,"('1', '3', '5')",3
129,"('2', '3', '4')",2
130,"('1', '2', '3', '4', '5')",2
131,"('1', '2', '3', '4', '5')",2
132,"('1', '2', '3', '4')",4
133,"('3', '5')",5
134,"('1', '2', '3', '4')",2
135,"('3', '5')",5
136,"('1', '2', '3', '4', '5')",2
137,"('2', '5')",2
138,"('1', '4')",1
139,"('1', '3', '4', '5')",1
140,"('3', '5')",5
141,"('1', '2', '4', '5')",1
142,"('1', '2', '3', '4', '5')",2
143,"('1', '3', '4', '5')",3
144,"('1', '2', '3', '4', '5')",1
145,"('1', '3', '4', '5')",1
146,"('1', '2', '3', '4', '5')",1
147,"('1', '4', '5')",5
148,"('4', '5')",4
149,"('1', '3', '4', '5')",4
150,"('3', '4')",3
151,"('2', '4')",2
152,"('1', '2', '3', '4', '5')",1
153,"('1', '2')",2
154,"('1', '2', '3', '4', '5')",2
155,"('1', '5')",5
156,"('1', '2', '3', '4', '5')",1
157,"('1', '2', '3', '4', '5')",1
158,"('2', '4')",2
159,"('1', '4')",1
160,"('1', '2', '3', '4', '5')",2
161,"('1', '5')",1
162,"('1', '2', '3', '4', '5')",1
163,"('1', '2', '4', '5')",5
164,"('1', '3', '5')",1
165,"('1', '2', '3', '4', '5')",1
166,"('1', '3', '5')",5
167,"('1', '2', '3', '4', '5')",5
168,"('3', '4', '5')",4
169,"('1', '2', '4', '5')",2
170,"('1', '2', '3', '4', '5')",5
171,"('1', '2', '3', '4', '5')",4
172,"('1', '2', '3', '4', '5')",1
173,"('1', '2', '3', '4')",1
174,"('3', '4')",3
175,"('2', '5')",5
176,"('1', '2', '3', '4', '5')",4
177,"('1', '2', '3', '4', '5')",2
178,"('3', '4')",4
179,"('1', '3', '5')",1
180,"('1', '2', '3', '4', '5')",1
181,"('3', '4')",4
182,"('1', '2', '3', '4')",2
183,"('1', '2', '4', '5')",5
184,"('1', '2', '3', '4')",2
185,"('1', '3', '4')",1
186,"('1', '2', '3', '4', '5')",3
187,"('2', '4', '5')",4
188,"('1', '2', '4', '5')",2
189,"('1', '2', '3')",3
190,"('1', '2', '3', '4')",3
191,"('1', '2', '3', '4', '5')",4
192,"('1', '2', '3', '4', '5')",4
193,"('1', '2', '3', '4', '5')",2
194,"('1', '2', '3', '4', '5')",3
195,"('2', '3', '4', '5')",5
196,"('3', '4')",4
197,"('1', '2', '3', '5')",2
198,"('1', '2', '3', '5')",5
199,"('1', '2', '3', '4', '5')",4
200,"('3', '5')",5
201,"('2', '3', '4', '5')",2
202,"('1', '2', '3', '4', '5')",4
203,"('1', '3', '4')",1
204,"('1', '2', '3', '4', '5')",2
205,"('1', '4', '5')",4
206,"('1', '5')",5
207,"('3', '5')",5
208,"('4', '5')",4
209,"('1', '2', '5')",5
210,"('1', '2', '3', '4', '5')",4
211,"('1', '3')",3
212,"('1', '2', '3', '4', '5')",2
213,"('3', '4')",3
214,"('1', '5')",5
215,"('1', '2', '3', '4', '5')",1
216,"('1', '2', '3', '4', '5')",1
217,"('1', '4')",1
218,"('1', '2', '3')",1
219,"('1', '2', '3', '4', '5')",1
220,"('2', '5')",2
221,"('1', '3', '4', '5')",1
222,"('1', '2', '3', '4', '5')",4
223,"('1', '2', '3', '5')",1
224,"('1', '2', '3', '4', '5')",2
225,"('2', '3', '5')",2
226,"('1', '2', '5')",2
227,"('2', '3', '5')",5
228,"('2', '4', '5')",4
229,"('1', '2', '3', '5')",5
230,"('1', '2', '4')",1
231,"('1', '2', '3', '5')",3
232,"('1', '2', '3', '4', '5')",3
233,"('3', '4')",3
234,"('1', '2', '4', '5')",4
235,"('1', '2', '5')",1
236,"('1', '2', '3', '4', '5')",2
237,"('2', '3', '4', '5')",4
238,"('2', '3', '4', '5')",4
239,"('1', '2', '3', '4', '5')",1
240,"('1', '2', '4')",1
241,"('2', '3', '4', '5')",4
242,"('1', '4')",1
243,"('1', '2', '3', '4')",3
244,"('1', '2', '5')",2
245,"('1', '2', '3', '4', '5')",4
246,"('1', '2', '3', '4', '5')",2
247,"('2', '3', '5')",2
248,"('3', '4', '5')",3
249,"('4', '5')",5
250,"('2', '3', '5')",5
251,"('1', '2', '3', '4', '5')",2
252,"('1', '2', '3', '4', '5')",4
253,"('1', '2', '3', '4')",2
254,"('2', '3', '4', '5')",5
255,"('1', '2', '3', '4')",4
256,"('1', '2', '3', '4', '5')",1
257,"('3', '4', '5')",4
258,"('1', '2', '4', '5')",2
259,"('1', '2', '3', '4', '5')",4
260,"('1', '2', '3', '4', '5')",5
261,"('2', '4', '5')",2
262,"('1', '2', '4')",1
263,"('1', '3', '4')",4
264,"('1', '3', '4', '5')",1
265,"('1', '3', '4')",4
266,"('1', '2', '4', '5')",1
267,"('1', '2', '3', '4', '5')",3
268,"('1', '3', '4', '5')",1
269,"('2', '3', '4', '5')",2
270,"('1', '2', '3', '4', '5')",2
271,"('3', '4')",4
272,"('3', '4', '5')",4
273,"('2', '5')",5
274,"('3', '4')",3
275,"('1', '2', '3', '4', '5')",1
276,"('2', '4')",4
277,"('1', '4', '5')",1
278,"('1', '2', '3', '4', '5')",1
279,"('1', '3', '4')",4
280,"('1', '3', '5')",3
281,"('1', '2', '3', '4', '5')",4
282,"('1', '2', '4')",1
283,"('1', '5')",1
284,"('4', '5')",4
285,"('1', '2', '5')",5
286,"('2', '3', '4', '5')",5
287,"('4', '5')",4
288,"('1', '3', '4', '5')",5
289,"('2', '3', '4')",4
290,"('1', '2', '3', '4', '5')",2
291,"('1', '2', '3', '5')",1
292,"('2', '3', '4')",2
293,"('1', '2', '5')",5
294,"('1', '2', '3', '4', '5')",1
295,"('1', '2', '3', '4', '5')",2
296,"('1', '2', '4', '5')",1
297,"('1', '2', '3', '5')",2
298,"('1', '2', '3', '4', '5')",2
299,"('3', '4', '5')",4
300,"('1', '2')",1
301,"('1', '2', '3', '5')",1
302,"('2', '4', '5')",4
303,"('1', '2', '5')",2
304,"('2', '3', '4', '5')",4
305,"('1', '2', '3', '5')",5
306,"('1', '2', '4', '5')",2
307,"('2', '4', '5')",5
308,"('1', '3', '5')",3
309,"('1', '2', '4')",1
310,"('3', '4', '5')",3
311,"('2', '3', '4', '5')",2
312,"('1', '5')",5
313,"('1', '2')",2
314,"('1', '2', '4', '5')",4
315,"('1', '2', '3', '4')",2
316,"('1', '4', '5')",1
317,"('2', '3')",3
