,choice_set,choice
0,"('2', '3')",2
1,"('3', '4', '6', '7')",7
2,"('4', '9')",4
3,"('7', '8')",8
4,"('2', '6', '9')",2
5,"('1', '2', '3', '7')",3
6,"('5', '6', '8', '9')",8
7,"('1', '3', '6', '8')",3
8,"('3', '7', '9')",9
9,"('7', '8')",8
10,"('1', '3', '6', '9')",9
11,"('2', '4', '5', '9')",5
12,"('4', '7', '8', '9')",7
13,"('1', '5', '6', '9')",1
14,"('2', '7', '8')",2
15,"('1', '9')",1
16,"('3', '5', '9')",3
17,"('1', '2', '3', '7')",2
18,"('1', '9')",9
19,"('2', '3', '5', '7')",7
20,"('2', '6')",2
21,"('1', '4', '6', '7')",1
22,"('2', '4', '6')",4
23,"('3', '8', '9')",3
24,"('5', '6', '9')",9
25,"('3', '8', '9')",3
26,"('2', '4', '6')",4
27,"('4', '6', '7')",4
28,"('2', '8')",8
29,"('2', '8')",8
30,"('4', '5', '7', '9')",5
31,"('3', '4', '5')",5
32,"('4', '7')",4
33,"('1', '9')",1
34,"('1', '7')",7
35,"('5', '7')",7
36,"('3', '7', '9')",3
37,"('3', '9')",3
38,"('3', '5')",3
39,"('3', '6', '9')",9
40,"('3', '4', '6', '9')",9
41,"('6', '9')",6
42,"('1', '3', '8', '9')",9
43,"('4', '7', '8')",4
44,"('2', '7')",7
45,"('4', '7')",4
46,"('2', '5', '8', '9')",9
47,"('3', '4', '5', '7')",7
48,"('2', '4')",4
49,"('1', '4', '5', '6')",4
50,"('1', '4', '8')",8
51,"('4', '8')",8
52,"('3', '8')",8
53,"('5', '6', '7')",7
54,"('3', '8')",3
55,"('2', '3', '7')",7
56,"('5', '6', '8')",8
57,"('4', '5', '6')",4
58,"('4', '6', '9')",9
59,"('2', '5', '6', '7')",7
60,"('3', '9')",9
61,"('5', '6', '8')",5
62,"('1', '4', '6')",6
63,"('3', '5', '6', '8')",3
64,"('1', '2', '5', '7')",7
65,"('3', '5', '7')",5
66,"('3', '4')",3
67,"('3', '7', '8', '9')",9
68,"('1', '5', '6', '8')",6
69,"('2', '7')",7
70,"('1', '3', '4', '9')",1
71,"('3', '8')",8
72,"('2', '8', '9')",8
73,"('1', '7', '8', '9')",1
74,"('1', '4', '5', '8')",4
75,"('6', '7')",6
76,"('1', '6', '7')",1
77,"('1', '5', '8')",1
78,"('4', '6')",6
79,"('1', '4', '7', '9')",1
80,"('5', '7')",7
81,"('3', '4', '9')",9
82,"('1', '2', '4', '7')",7
83,"('1', '3', '9')",1
84,"('1', '2', '5', '6')",6
85,"('1', '5', '7', '8')",1
86,"('2', '5')",2
87,"('2', '3', '8')",3
88,"('1', '3', '5', '6')",6
89,"('1', '5')",5
90,"('2', '5', '7', '9')",2
91,"('1', '8')",8
92,"('2', '4', '6', '9')",4
93,"('2', '4', '5', '8')",8
94,"('1', '2', '4', '6')",1
95,"('3', '4', '6', '7')",3
96,"('2', '3', '4', '5')",4
97,"('2', '3')",2
98,"('3', '9')",3
99,"('3', '4', '5', '8')",3
100,"('2', '3', '6', '8')",6
101,"('6', '8')",6
102,"('2', '5', '6', '8')",5
103,"('1', '4')",4
104,"('1', '6', '7')",7
105,"('1', '5')",5
106,"('2', '6', '7', '9')",6
107,"('1', '2', '7', '9')",2
108,"('1', '8')",1
109,"('5', '6')",6
110,"('5', '8', '9')",5
111,"('3', '5')",3
112,"('1', '4', '8')",1
113,"('3', '4', '5', '7')",7
114,"('4', '9')",9
115,"('1', '6', '7', '9')",1
116,"('2', '9')",9
117,"('1', '2', '4')",1
118,"('1', '6', '9')",6
119,"('2', '4', '9')",2
120,"('2', '8')",8
121,"('1', '3', '4', '7')",1
122,"('1', '2', '3')",3
123,"('1', '6')",1
124,"('1', '2')",1
125,"('4', '5', '6', '7')",5
126,"('3', '6')",6
127,"('1', '5', '7', '9')",5
128,"('1', '5')",5
129,"('3', '5')",5
130,"('1', '3', '6', '9')",6
131,"('2', '4', '6', '7')",7
132,"('2', '6')",6
133,"('1', '4', '8')",8
134,"('3', '7')",7
135,"('4', '8', '9')",9
136,"('4', '5', '7')",4
137,"('1', '8')",1
138,"('1', '4')",1
139,"('4', '6', '7')",4
140,"('3', '5')",3
141,"('6', '7')",7
142,"('6', '7')",7
143,"('2', '5')",5
144,"('1', '3', '4', '9')",1
145,"('1', '3', '5', '8')",8
146,"('1', '4', '7', '8')",4
147,"('1', '4', '8')",4
148,"('2', '7')",2
149,"('1', '3', '8')",1
150,"('3', '5', '9')",9
151,"('1', '5')",5
152,"('3', '4', '7', '9')",9
153,"('1', '2', '5', '6')",5
154,"('5', '8', '9')",5
155,"('1', '5', '7', '9')",1
156,"('5', '7', '9')",7
157,"('1', '2', '9')",1
158,"('3', '6', '9')",9
159,"('2', '8')",8
160,"('4', '9')",9
161,"('1', '3', '6', '8')",6
162,"('5', '8')",8
163,"('4', '6', '7', '8')",4
164,"('1', '7', '9')",9
165,"('3', '8')",8
166,"('4', '6', '7', '9')",7
167,"('1', '2', '3', '6')",2
168,"('1', '2', '7')",1
169,"('2', '7')",7
170,"('5', '6')",6
171,"('5', '9')",5
172,"('2', '7', '9')",9
173,"('1', '2', '4')",4
174,"('4', '9')",4
175,"('2', '7', '8', '9')",8
176,"('4', '6', '8', '9')",4
177,"('2', '5', '6', '8')",5
178,"('6', '9')",6
179,"('7', '8')",8
180,"('3', '6')",6
181,"('2', '4', '6', '8')",4
182,"('1', '2', '6')",6
183,"('4', '5', '7')",4
184,"('4', '6')",4
185,"('4', '5')",4
186,"('1', '4', '7')",7
187,"('3', '4', '7')",4
188,"('4', '6')",6
189,"('1', '2', '7')",2
190,"('3', '9')",9
191,"('1', '8')",8
192,"('2', '5', '6', '7')",2
193,"('2', '6')",6
194,"('3', '5')",3
195,"('1', '4', '5', '9')",5
196,"('3', '7', '8', '9')",3
197,"('2', '6')",2
198,"('3', '8')",8
199,"('1', '3', '4')",3
200,"('1', '8')",8
201,"('7', '8', '9')",9
202,"('1', '2', '3')",1
203,"('1', '9')",9
204,"('2', '4', '6', '9')",9
205,"('2', '4', '9')",9
206,"('2', '8')",2
207,"('6', '9')",9
208,"('6', '7')",6
209,"('2', '8')",8
210,"('1', '3', '7', '8')",8
211,"('4', '5')",4
212,"('3', '4', '7')",7
213,"('2', '5')",5
214,"('1', '2', '9')",1
215,"('1', '4', '9')",1
216,"('2', '3', '4')",3
217,"('4', '5', '7')",7
218,"('1', '2', '4', '8')",8
219,"('2', '3', '4', '9')",2
220,"('2', '5', '6', '7')",2
221,"('2', '5')",5
222,"('1', '4', '8', '9')",4
223,"('2', '5')",5
224,"('3', '4')",4
225,"('1', '2', '3', '6')",2
226,"('2', '3')",3
227,"('2', '7', '8')",7
228,"('1', '3', '8', '9')",1
229,"('2', '6')",6
230,"('1', '4')",4
231,"('3', '5', '9')",5
232,"('2', '3', '4', '7')",7
233,"('1', '9')",9
234,"('1', '8')",8
235,"('1', '4', '5', '7')",5
236,"('1', '2', '6')",6
237,"('4', '7', '8', '9')",8
238,"('3', '4', '6', '7')",7
239,"('5', '8', '9')",5
240,"('1', '2', '5', '6')",2
241,"('4', '9')",9
242,"('2', '8')",2
