,choice_set,choice
0,"('C', 'D', 'K', 'N')",N
1,"('A', 'B', 'F')",B
2,"('A', 'J', 'K')",K
3,"('G', 'J')",J
4,"('A', 'L', 'M')",M
5,"('J', 'N', 'O', 'P')",J
6,"('B', 'C', 'D', 'J')",D
7,"('D', 'F', 'K', 'P')",K
8,"('C', 'J', 'N', 'Q')",C
9,"('E', 'J')",E
10,"('B', 'J')",J
11,"('C', 'D', 'G', 'J')",J
12,"('M', 'O')",O
13,"('C', 'E', 'Q')",E
14,"('C', 'D')",D
15,"('A', 'F', 'K', 'L')",F
16,"('A', 'F', 'N')",F
17,"('F', 'G', 'J')",F
18,"('B', 'H', 'J')",B
19,"('B', 'C', 'L')",L
20,"('A', 'G')",G
21,"('E', 'J', 'O')",E
22,"('A', 'D', 'L')",D
23,"('G', 'H')",H
24,"('J', 'L', 'M')",M
25,"('C', 'H')",H
26,"('C', 'N')",C
27,"('C', 'I', 'J', 'L')",L
28,"('A', 'B')",A
29,"('D', 'E', 'I', 'P')",D
30,"('B', 'D', 'J', 'O')",J
31,"('E', 'I', 'Q')",I
32,"('C', 'D', 'I', 'M')",I
33,"('A', 'O')",O
34,"('E', 'I', 'N')",E
35,"('D', 'F', 'N', 'Q')",F
36,"('D', 'Q')",Q
37,"('C', 'H', 'N')",N
38,"('B', 'C', 'H')",C
39,"('F', 'I', 'J', 'K')",K
40,"('D', 'I', 'M')",D
41,"('C', 'K')",C
42,"('B', 'F', 'L')",F
43,"('D', 'E', 'J')",J
44,"('A', 'D', 'F')",D
45,"('A', 'E', 'G', 'M')",A
46,"('A', 'D', 'O')",D
47,"('K', 'N')",K
48,"('E', 'H')",H
49,"('B', 'I', 'J', 'P')",I
50,"('K', 'L')",K
51,"('F', 'I', 'J')",I
52,"('D', 'L', 'M')",M
53,"('B', 'D', 'N', 'Q')",D
54,"('C', 'E')",C
55,"('D', 'E', 'F', 'K')",E
56,"('B', 'E', 'H', 'Q')",E
57,"('C', 'I', 'O')",I
58,"('M', 'N')",M
59,"('D', 'F', 'G', 'M')",M
60,"('I', 'N', 'P')",I
61,"('E', 'J', 'M', 'O')",E
62,"('E', 'G')",E
63,"('A', 'C', 'M')",C
64,"('B', 'C', 'J', 'P')",B
65,"('H', 'I')",I
66,"('B', 'C', 'J', 'N')",C
67,"('B', 'F', 'L', 'N')",F
68,"('A', 'E')",A
69,"('D', 'F', 'G', 'J')",J
70,"('C', 'G', 'M')",G
71,"('B', 'L', 'M', 'N')",N
72,"('H', 'M', 'Q')",M
73,"('A', 'C')",A
74,"('C', 'K', 'P')",C
75,"('E', 'Q')",E
76,"('B', 'C', 'J', 'M')",M
77,"('N', 'Q')",N
78,"('J', 'N', 'Q')",N
79,"('D', 'G', 'H', 'M')",M
80,"('F', 'G', 'H', 'O')",F
81,"('E', 'I', 'Q')",E
82,"('A', 'N')",A
83,"('A', 'L')",L
84,"('F', 'L', 'N', 'P')",L
85,"('C', 'F')",F
86,"('E', 'H', 'L', 'Q')",E
87,"('B', 'D')",B
88,"('C', 'I')",C
89,"('A', 'C', 'N')",N
90,"('M', 'P')",M
91,"('E', 'M')",E
92,"('C', 'K')",C
93,"('D', 'E', 'I', 'Q')",I
94,"('E', 'P')",E
95,"('B', 'C', 'F', 'I')",C
96,"('H', 'I', 'O')",O
97,"('H', 'N')",N
98,"('I', 'O')",I
99,"('C', 'L')",L
100,"('H', 'I', 'Q')",H
101,"('C', 'D', 'E', 'I')",I
102,"('E', 'P')",E
103,"('D', 'J', 'K', 'P')",J
104,"('C', 'K')",K
105,"('I', 'N')",I
106,"('C', 'J', 'Q')",C
107,"('D', 'M')",D
108,"('D', 'F', 'L')",D
109,"('A', 'D', 'J', 'M')",M
110,"('E', 'N')",N
111,"('I', 'K', 'P')",K
112,"('B', 'D', 'L')",D
113,"('B', 'E')",E
114,"('E', 'I')",I
115,"('A', 'B', 'H', 'L')",A
116,"('A', 'J')",A
117,"('B', 'F', 'J')",J
118,"('D', 'I')",D
119,"('N', 'P')",N
120,"('F', 'L')",F
121,"('C', 'H', 'J', 'P')",P
122,"('I', 'J')",J
123,"('B', 'F', 'J', 'K')",K
124,"('E', 'J')",J
125,"('G', 'O')",O
126,"('C', 'F', 'N', 'O')",F
127,"('C', 'N')",C
128,"('B', 'I', 'L', 'Q')",I
129,"('B', 'H', 'P')",H
130,"('L', 'O', 'P')",P
131,"('H', 'J', 'Q')",J
132,"('K', 'L', 'M', 'Q')",K
133,"('D', 'K', 'M')",K
134,"('F', 'K', 'O')",K
135,"('A', 'C', 'O')",C
136,"('M', 'P')",M
